TEAM,W,L,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
Iowa,18,10,25.93,61.11,0.42,18.07,36.21,0.50,7.86,24.89,0.31,12.21,16.82,0.71,71.93,9.79,22.93,32.71,15.57,6.11,3.68,11.43,18.50
Wisconsin,18,9,23.41,56.56,0.41,17.63,38.37,0.46,5.78,18.19,0.32,9.85,14.33,0.69,62.44,7.93,24.56,32.48,11.15,5.04,3.00,10.26,16.26
UMKC,14,11,21.76,50.32,0.44,16.72,33.56,0.50,5.04,16.76,0.31,18.76,24.60,0.76,67.32,7.64,23.28,30.92,10.60,5.96,4.24,13.88,16.92
Northern Arizona,15,13,25.71,55.68,0.46,18.32,35.07,0.53,7.39,20.61,0.37,11.11,15.25,0.69,69.93,7.32,23.32,30.64,13.36,5.11,2.64,12.29,16.54
Sacramento St.,14,14,21.50,50.11,0.43,16.54,35.64,0.47,4.96,14.46,0.33,13.29,17.32,0.78,61.25,6.43,21.18,27.61,10.57,5.46,2.93,13.64,16.68
Mississippi Valley St.,3,23,30.65,65.42,0.47,23.35,43.00,0.55,7.31,22.42,0.31,16.46,24.35,0.68,85.08,12.50,31.77,44.27,18.15,6.69,3.00,14.50,15.31
Prairie View A&M,18,9,22.56,52.93,0.43,17.00,33.63,0.50,5.56,19.30,0.27,17.93,25.78,0.69,68.59,8.48,23.26,31.74,11.93,5.89,3.26,16.33,20.56
Alabama A&M,8,18,25.04,56.27,0.44,19.19,37.46,0.51,5.85,18.81,0.30,13.38,20.08,0.65,69.31,7.62,27.00,34.62,12.50,6.42,4.27,12.04,18.08
Southern,15,13,22.54,51.86,0.43,17.36,35.71,0.48,5.18,16.14,0.32,16.68,24.43,0.68,66.93,7.57,22.00,29.57,9.36,5.71,3.43,12.96,18.50
Arkansas Pine Bluff,4,23,22.30,52.44,0.43,16.33,33.00,0.50,5.96,19.44,0.31,16.19,24.11,0.67,66.74,8.85,21.48,30.33,12.37,9.81,2.44,13.93,17.41
Texas Southern,16,13,26.90,60.93,0.44,19.69,39.28,0.50,7.21,21.66,0.33,14.76,20.28,0.71,75.76,9.21,23.90,33.10,14.14,7.72,3.97,14.93,21.31
Eastern Washington,21,7,26.75,61.68,0.44,19.75,41.61,0.48,7.00,20.07,0.35,14.00,19.43,0.72,74.50,8.93,25.29,34.21,14.75,7.14,3.32,13.21,18.61
Northern Colorado,20,6,24.73,55.62,0.44,21.31,43.00,0.50,3.42,12.62,0.27,9.85,14.23,0.69,62.73,6.19,23.50,29.69,8.27,4.58,3.19,10.69,14.96
Idaho,6,21,26.85,59.89,0.45,19.26,36.67,0.53,7.59,23.22,0.32,11.85,17.48,0.67,73.15,8.30,24.44,32.74,13.74,7.33,2.89,10.81,16.63
Southern Utah,15,13,22.50,56.21,0.40,16.43,36.57,0.46,6.07,19.64,0.31,14.43,20.00,0.72,65.50,6.86,22.50,29.36,11.07,5.32,3.93,11.68,18.43
Kansas,26,2,22.11,58.18,0.38,14.64,34.14,0.44,7.46,24.04,0.31,8.86,13.00,0.68,60.54,8.36,20.61,28.96,11.71,6.39,3.64,12.39,16.68
Oklahoma St.,14,14,22.96,56.25,0.41,15.39,31.64,0.49,7.57,24.61,0.30,13.57,18.93,0.72,67.07,9.21,22.79,32.00,13.14,6.04,3.36,13.18,17.50
Tulsa,18,9,22.22,55.19,0.40,14.70,30.11,0.49,7.52,25.07,0.30,10.70,15.41,0.68,62.67,8.37,22.63,31.00,11.89,7.19,3.59,14.30,18.85
Princeton,14,10,25.42,55.58,0.46,20.08,39.13,0.51,5.33,16.46,0.32,11.25,15.00,0.74,67.42,5.83,21.88,27.71,10.75,6.17,3.25,11.54,16.42
Maryland,21,7,23.64,58.75,0.40,16.25,36.36,0.45,7.39,22.39,0.33,10.43,14.57,0.73,65.11,8.21,23.79,32.00,12.96,5.46,3.82,10.50,19.04
Iona,12,15,24.56,58.63,0.42,16.33,35.70,0.47,8.22,22.93,0.35,13.19,20.26,0.65,70.52,10.56,22.19,32.74,14.22,6.67,2.78,12.15,17.37
Canisius,11,18,24.83,55.10,0.45,18.34,36.00,0.51,6.48,19.10,0.34,13.72,19.62,0.71,69.86,8.10,23.59,31.69,11.66,6.72,2.86,14.34,17.66
Fairfield,11,17,21.86,52.75,0.42,15.25,33.68,0.46,6.61,19.07,0.35,11.64,16.14,0.72,61.96,7.29,21.96,29.25,10.86,6.04,3.11,11.93,18.32
Manhattan,11,18,21.41,50.90,0.42,15.62,34.34,0.45,5.79,16.55,0.35,15.72,23.17,0.68,64.34,8.14,24.28,32.41,12.14,6.48,2.97,14.03,18.55
Rider,16,11,24.15,56.70,0.43,15.89,32.00,0.50,8.26,24.70,0.34,11.96,17.52,0.67,68.52,7.07,23.07,30.15,12.93,6.22,3.67,13.26,19.78
Niagara,12,16,25.96,57.61,0.45,17.50,33.93,0.52,8.46,23.68,0.36,10.89,15.54,0.69,71.29,10.43,26.39,36.82,16.36,4.39,3.50,13.43,15.21
Quinnipiac,15,13,26.32,61.50,0.43,18.64,39.46,0.47,7.68,22.04,0.35,10.11,14.96,0.67,70.43,7.93,23.43,31.36,14.61,6.71,3.11,9.14,16.25
Siena,18,8,24.73,57.81,0.43,18.50,38.00,0.49,6.23,19.81,0.31,11.46,15.27,0.74,67.15,7.31,21.19,28.50,11.27,5.81,3.62,10.85,18.08
